GroupIndex,measSetComments,probeId,beamstyleIndex,bsIndexTrace,TxFrequencyHz,focusRangeCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,numTxCycles,ElevAperIndex,zStartDistCm,zMeasNum,IsTxAperModulationEn,dumpSwVersion,DTxFreqIndex,IsCPAEn,TxPulseRleA,CpaDelayOffsetClkA,VTxIndex,SysPulserSelA,AI_param
1,Beamstyle_10V4_Intensity,11319697,0,0,4210500,0.5,93.0,93.0,57.71,20,10,5.0,2,2.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,2.299999952316284
1,Beamstyle_10V4_Intensity,11319697,0,0,4210500,1.0,93.0,93.0,57.71,20,10,11.0,2,2.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,2.0999999046325684
1,Beamstyle_10V4_Intensity,11319697,0,0,4210500,2.0,93.0,93.0,57.71,20,10,21.0,2,2.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,2.0
1,Beamstyle_10V4_Intensity,11319697,0,0,4210500,3.0,93.0,93.0,57.71,20,10,32.0,2,2.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.899999976158142
1,Beamstyle_10V4_Intensity,11319697,0,0,4210500,4.0,93.0,93.0,57.71,20,10,43.0,2,2.0,0,0.5,75.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.899999976158142
1,Beamstyle_10V4_Intensity,11319697,0,0,4210500,6.0,93.0,93.0,57.71,20,10,66.0,2,2.0,0,0.5,75.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.899999976158142
1,Beamstyle_10V4_Intensity,11319697,0,0,4210500,9.0,93.0,93.0,57.71,20,10,75.0,2,2.0,0,0.5,115.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,2.0
1,Beamstyle_10V4_Intensity,11319697,0,0,4210500,12.0,93.0,93.0,57.71,20,10,77.0,2,2.0,0,0.5,135.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,2.0
2,Beamstyle_10V4_Intensity,11319697,0,0,4210500,0.5,93.0,93.0,57.71,20,10,6.0,2,3.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,2.299999952316284
2,Beamstyle_10V4_Intensity,11319697,0,0,4210500,1.0,93.0,93.0,57.71,20,10,12.0,2,3.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,2.0999999046325684
