GroupIndex,measSetComments,probeId,beamstyleIndex,bsIndexTrace,TxFrequencyHz,focusRangeCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,numTxCycles,ElevAperIndex,zStartDistCm,zMeasNum,IsTxAperModulationEn,dumpSwVersion,DTxFreqIndex,IsCPAEn,TxPulseRleA,CpaDelayOffsetClkA,VTxIndex,SysPulserSelA,AI_param
5,Beamstyle_5C1_Intensity,11291794,0,15,1818200,2.0,93.0,93.0,57.71,20,10,16.0,2,1.5,0,0.5,45.0,0,2025-05-22,0,0,-1,0,1,0,4.4
5,Beamstyle_5C1_Intensity,11291794,0,15,1818200,4.0,93.0,93.0,57.71,20,10,31.0,2,1.5,0,0.5,75.0,0,2025-05-22,0,0,-1,0,1,0,4.0
5,Beamstyle_5C1_Intensity,11291794,0,15,1818200,6.0,93.0,93.0,57.71,20,10,47.0,2,1.5,0,0.5,75.0,0,2025-05-22,0,0,-1,0,1,0,4.0
5,Beamstyle_5C1_Intensity,11291794,0,15,1818200,8.0,93.0,93.0,57.71,20,10,60.0,2,1.5,0,0.5,115.0,0,2025-05-22,0,0,-1,0,1,0,3.9
5,Beamstyle_5C1_Intensity,11291794,0,15,1818200,10.0,93.0,93.0,57.71,20,10,68.0,2,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,3.8
5,Beamstyle_5C1_Intensity,11291794,0,15,1818200,12.0,93.0,93.0,57.71,20,10,72.0,2,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,3.9
5,Beamstyle_5C1_Intensity,11291794,0,15,1818200,16.0,93.0,93.0,57.71,20,10,77.0,2,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,4.1
5,Beamstyle_5C1_Intensity,11291794,0,15,1818200,20.0,93.0,93.0,57.71,20,10,80.0,2,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,4.1
6,Beamstyle_5C1_Intensity,11291794,0,15,2222200,2.0,93.0,93.0,57.71,20,10,16.0,2,1.5,0,0.5,45.0,0,2025-05-22,0,0,-1,0,1,0,4.5
6,Beamstyle_5C1_Intensity,11291794,0,15,2222200,4.0,93.0,93.0,57.71,20,10,31.0,2,1.5,0,0.5,75.0,0,2025-05-22,0,0,-1,0,1,0,4.0
6,Beamstyle_5C1_Intensity,11291794,0,15,2222200,6.0,93.0,93.0,57.71,20,10,47.0,2,1.5,0,0.5,75.0,0,2025-05-22,0,0,-1,0,1,0,4.0
6,Beamstyle_5C1_Intensity,11291794,0,15,2222200,8.0,93.0,93.0,57.71,20,10,60.0,2,1.5,0,0.5,115.0,0,2025-05-22,0,0,-1,0,1,0,3.9
6,Beamstyle_5C1_Intensity,11291794,0,15,2222200,10.0,93.0,93.0,57.71,20,10,68.0,2,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,3.8
6,Beamstyle_5C1_Intensity,11291794,0,15,2222200,12.0,93.0,93.0,57.71,20,10,72.0,2,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,3.8
6,Beamstyle_5C1_Intensity,11291794,0,15,2222200,16.0,93.0,93.0,57.71,20,10,77.0,2,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,4.0
6,Beamstyle_5C1_Intensity,11291794,0,15,2222200,20.0,93.0,93.0,57.71,20,10,80.0,2,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,4.0
7,Beamstyle_5C1_Intensity,11291794,0,15,3636400,2.0,93.0,93.0,57.71,20,10,16.0,2,1.5,0,0.5,45.0,0,2025-05-22,0,0,-1,0,1,0,5.2
7,Beamstyle_5C1_Intensity,11291794,0,15,3636400,4.0,93.0,93.0,57.71,20,10,31.0,2,1.5,0,0.5,75.0,0,2025-05-22,0,0,-1,0,1,0,4.7
