ProbeName	Mode	ExamName	SubModeIndex	BeamStyleIndex	SysTxFreqIndex	TxpgWaveformStyle	TxFocusLocCm	NumTxElements	ProbeNumTxCycles	IsTxChannelModulationEn	IsPresetCpaEn	CpaDelayOffsetClk	TxPulseRle	TxpgWaveformLut	ElevAperIndex	SystemPulserSel	VTxIndex
0.5k-L	B	Breast	0	0	24	2	0.5	7	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	24	2	1	10	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	24	2	1.5	13	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	24	2	2	15	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	24	2	3	20	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	24	2	4	27	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	24	2	5	33	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	24	2	7	47	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	24	2	0.5	7	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	24	2	1	10	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	24	2	1.5	13	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	24	2	2	15	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	24	2	3	20	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	24	2	4	27	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	24	2	5	33	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	24	2	7	47	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	25	2	0.5	7	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	25	2	1	10	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	25	2	1.5	13	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	25	2	2	15	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	25	2	3	20	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	25	2	4	27	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	25	2	5	33	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	25	2	7	47	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	25	2	0.5	7	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	25	2	1	10	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	25	2	1.5	13	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	25	2	2	15	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	25	2	3	20	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	25	2	4	27	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	25	2	5	33	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	25	2	7	47	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	26	2	0.5	7	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	26	2	1	10	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	26	2	1.5	13	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	26	2	2	15	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	26	2	3	20	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	26	2	4	27	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	26	2	5	33	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	26	2	7	47	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	26	2	0.5	7	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	26	2	1	10	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	0	0	26	2	1.5	13	1.5	0	0	0	null	null	0	null	1
