ProbeName	Mode	ExamName	SubModeIndex	BeamStyleIndex	SysTxFreqIndex	TxpgWaveformStyle	TxFocusLocCm	NumTxElements	ProbeNumTxCycles	IsTxChannelModulationEn	IsPresetCpaEn	CpaDelayOffsetClk	TxPulseRle	TxpgWaveformLut	ElevAperIndex	SystemPulserSel	VTxIndex
L10-5v	B	Breast	0	0	27	2	0.5	7	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	27	2	1	10	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	27	2	1.5	13	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	27	2	2	15	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	27	2	3	20	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	27	2	4	27	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	27	2	5	33	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	27	2	7	47	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	27	2	0.5	7	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	27	2	1	10	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	27	2	1.5	13	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	27	2	2	15	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	27	2	3	20	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	27	2	4	27	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	27	2	5	33	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	27	2	7	47	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	28	2	0.5	7	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	28	2	1	10	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	28	2	1.5	13	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	28	2	2	15	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	28	2	3	20	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	28	2	4	27	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	28	2	5	33	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	28	2	7	47	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	28	2	0.5	7	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	28	2	1	10	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	28	2	1.5	13	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	28	2	2	15	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	28	2	3	20	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	28	2	4	27	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	28	2	5	33	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	28	2	7	47	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	29	2	0.5	7	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	29	2	1	10	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	29	2	1.5	13	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	29	2	2	15	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	29	2	3	20	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	29	2	4	27	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	29	2	5	33	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	29	2	7	47	1	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	29	2	0.5	7	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	29	2	1	10	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	29	2	1.5	13	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	29	2	2	15	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	29	2	3	20	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	29	2	4	27	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	29	2	5	33	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	0	0	29	2	7	47	1.5	0	0	0	null	null	0	null	1
L10-5v	B	Breast	1	1	17	0	0.5	8	1	0	0	0	1.25:0.25:-1.25:0.25	null	0	null	1
L10-5v	B	Breast	1	1	17	0	1	11	1	0	0	0	1.25:0.25:-1.25:0.25	null	0	null	1
L10-5v	B	Breast	1	1	17	0	1.5	14	1	0	0	0	1.25:0.25:-1.25:0.25	null	0	null	1
L10-5v	B	Breast	1	1	17	0	2	17	1	0	0	0	1.25:0.25:-1.25:0.25	null	0	null	1
